City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Seddon,AU,-37.8068,144.8916,57.99,71,90,8.05,overcast clouds
316,Svetlogorsk,BY,52.6333,29.7333,47.48,50,87,8.84,overcast clouds
317,Flinders,AU,-34.5833,150.8552,62.01,88,75,4.61,broken clouds
318,Burnie,AU,-41.0667,145.9167,48.0,81,97,1.99,overcast clouds
319,Warangal,IN,18.0,79.5833,87.19,32,35,5.86,scattered clouds
320,Havoysund,NO,70.9963,24.6622,30.2,93,90,12.66,snow
321,Pisco,PE,-13.7,-76.2167,71.6,68,20,4.61,few clouds
322,Tigil,RU,57.8,158.6667,20.89,84,100,11.05,overcast clouds
323,Kavaratti,IN,10.5669,72.642,83.16,70,11,8.79,few clouds
324,Manjakandriana,MG,-18.9167,47.8,71.6,64,20,11.5,few clouds
325,Butaritari,KI,3.0707,172.7902,82.11,78,94,17.34,light rain
326,Libertador General San Martin,AR,-23.8064,-64.7876,84.0,76,97,2.1,overcast clouds
327,Thompson,CA,55.7435,-97.8558,32.0,80,75,4.61,broken clouds
328,Basco,PH,20.4487,121.9702,75.16,72,7,20.07,clear sky
329,Yatou,CN,37.15,122.3833,45.19,47,30,3.29,scattered clouds
330,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,75,100,11.18,overcast clouds
331,Hamburg,DE,53.55,10.0,45.0,87,75,14.97,light rain
332,Rudnaya Pristan,RU,44.3614,135.8116,34.97,69,100,7.2,overcast clouds
333,Korla,CN,41.7597,86.1469,58.87,40,30,4.5,scattered clouds
334,Chateaubelair,VC,13.2833,-61.25,80.6,89,40,6.91,volcanic ash
335,Grindavik,IS,63.8424,-22.4338,30.2,93,75,3.44,snow
336,Teya,RU,60.3778,92.6267,17.76,97,78,1.79,broken clouds
337,San Quintin,MX,30.4833,-115.95,59.7,79,49,13.49,scattered clouds
338,Yumen,CN,40.2833,97.2,55.8,23,82,5.93,broken clouds
339,Florianopolis,BR,-27.6146,-48.5012,80.01,69,20,17.27,few clouds
340,Eureka,US,40.8021,-124.1637,46.99,81,99,5.97,overcast clouds
341,Noumea,NC,-22.2763,166.4572,79.0,88,0,1.14,clear sky
342,Rio Gallegos,AR,-51.6226,-69.2181,51.8,46,0,14.97,clear sky
343,Vila Velha,BR,-20.3297,-40.2925,82.4,51,40,9.22,scattered clouds
344,Tsabong,BW,-26.0217,22.401,86.14,21,0,3.24,clear sky
345,Chopda,IN,21.25,75.3,95.07,14,0,6.96,clear sky
